ds,yhat,yhat_lower,yhat_upper
2024-01-01,71.24993382970372,38.09009476972256,104.35971565793038
2024-01-02,29.67020663182178,-6.4044387406946,61.605800217354805
2024-01-03,58.68378004647299,25.01550944099026,92.40172477762455
2024-01-04,33.70420161517971,-1.2957120137978744,68.15867082563186
2024-01-05,42.4704060385525,8.21957108962111,77.88889081612672
2024-01-06,32.1064018717127,-3.1380173490630523,67.53948917096574
2024-01-07,31.50629199233812,-5.539377055612174,68.27029314932588
2024-01-08,72.7243603387638,35.219567632674526,105.5513917823546
2024-01-10,60.15820655591703,23.98200016481638,95.17212183337858
2024-01-11,35.17862812487484,-1.194530207084562,71.24770173602866
2024-01-12,43.94483254895113,9.827222292802524,77.12877796650511
2024-01-14,32.98071850309972,-2.7624177282808504,67.6345237838286
2024-01-15,74.19878684956211,38.65974439511515,109.36511418179464
2024-01-16,32.6190596520471,-2.1359393125374684,68.17783581985482
2024-01-17,61.63263306701118,25.346620212467464,97.38174758111887
2024-01-18,36.6530546361206,1.1479041773578007,71.49479406157056
2024-01-19,45.419259060384405,9.594558556200797,81.90734354943203
2024-01-20,35.05525489378631,-0.697711466730821,69.07601152844366
2024-01-21,34.4551450146518,1.0068935793589278,69.77123504940506
2024-01-23,34.09348616367249,-0.33038080630802125,69.89049026204592
2024-01-24,63.107059578549816,31.450823277481046,99.70586192139447
2024-01-25,38.12748114744004,2.2568080385593214,73.28153714399961
2024-01-26,46.893685571454704,11.786193442959355,81.32238707539642
2024-01-27,36.52968140483614,2.569378399068882,72.5439008978956
2024-01-28,35.929571525612964,1.833690231531503,69.264101572808
2024-01-30,35.56791267446778,0.27912638552141844,70.83419794127441
2024-01-31,64.58148608933905,28.706325910582148,97.0481231140592
2024-02-01,39.601907658463695,6.484709665532641,76.02686312700068
2024-02-02,48.36811208221518,15.14431835900285,86.54470637761784
2024-02-03,38.00410791553648,3.3714492093108785,70.66049383175819
2024-02-04,37.40399803632073,2.05266517855827,70.86717652704964
2024-02-05,78.6220663827668,43.90908628155966,113.54892462059875
2024-02-06,37.04233918525795,3.076955909012491,73.94170043503439
